label,sport_and_travel,buy_and_sell,health_and_family,jobs,love,social_learning,suport,new,comic_and_film,music,gaming,school_and_class,club
__label__25-34,0,2,4,0,1,1,0,1,0,0,0,0,2
__label__45-54,0,0,0,0,0,0,0,0,0,0,0,0,2
__label__18-24,0,27,17,6,19,8,1,1,0,1,3,5,38
__label__18-24,0,0,0,0,1,0,0,0,0,0,0,0,1
__label__35-44,1,12,3,0,1,3,0,0,0,0,0,0,3
__label__45-54,0,4,0,0,0,0,0,0,0,0,0,0,1
__label__45-54,2,3,5,2,1,0,0,2,0,1,0,0,15
__label__45-54,0,16,8,0,1,0,1,0,0,0,0,0,7
__label__35-44,0,0,1,2,0,0,0,0,0,0,0,1,2
__label__35-44,1,2,4,1,0,1,0,0,0,0,0,2,11
__label__35-44,2,25,14,11,1,1,0,1,0,1,1,0,16
__label__25-34,3,12,13,11,2,1,0,1,0,0,0,3,10
__label__25-34,0,2,0,1,0,0,0,2,0,0,0,0,0
__label__55+,0,1,1,0,1,1,0,0,0,0,0,0,2
__label__45-54,0,2,0,2,0,1,0,0,0,0,0,0,3
__label__18-24,0,0,0,1,0,0,0,0,1,0,0,0,2
__label__45-54,0,1,0,0,0,0,0,0,0,1,0,0,0
__label__25-34,0,1,0,0,0,0,0,0,0,1,0,1,0
__label__25-34,5,47,27,12,5,4,0,5,3,1,0,2,32
__label__18-24,3,4,5,3,0,2,0,1,0,0,0,0,6
__label__55+,1,0,0,0,1,1,0,0,0,0,0,1,2
__label__25-34,0,0,0,0,0,0,0,1,0,0,0,0,1
__label__25-34,0,3,5,0,1,0,0,1,0,0,0,0,0
__label__45-54,0,5,3,0,0,1,0,0,0,0,0,0,1
__label__35-44,1,3,1,0,0,4,1,1,0,0,0,0,3
__label__25-34,0,2,2,0,0,3,0,1,1,0,0,0,3
__label__18-24,5,4,4,3,1,2,0,0,0,0,0,0,5
__label__45-54,0,2,0,0,3,2,0,2,0,0,1,0,2
__label__35-44,0,2,0,0,0,0,0,0,0,1,0,0,1
__label__45-54,0,2,1,0,0,0,0,0,0,0,0,0,0
